name,age_group,sex,year,population,ILO_inactive_share,total_inactive_population,ILO_unemployed_rate,total_unemployed_population,total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts $ entertainment,Other services,Activities of households,Extraterritorial organizations
Rwanda,25-35,female,2015,1096585.6,39.392,431966.9995520001,10.817,71891.79401046016,592726.8064375399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2016,1103553.376,39.162,432173.57310911996,10.879,73039.40875649884,598340.3941343811,14926517824370.154,81978187385.49306,1021355937656.4498,4316178247.093419,35602.33043140326,487226136783.69617,4160905768496.777,126678.40316097123,502699958074.4496,42398066051.45144,125536452296.15283,6956.33485926327,164315.36131275902,173919656692.7641,207162402562.4335,530726628022.7595,262168832472.05438,0,0,2726191.0775898416,0
Rwanda,25-35,female,2017,1110521.152,39.005,433158.77533760003,10.921,73974.7451553007,603387.6315070993,14974885949340.055,92378106596.00781,1016302417517.739,4189749539.1128902,34559.47344546453,454848339805.30536,4350336154533.562,137483.84696632126,541575858585.6244,46014546120.21524,144950021298.94397,7673.5768943319845,181257.31228627727,191851871145.9915,228591409406.5439,561374652215.8092,266211516039.62134,0,0,2791180.731504153,0
Rwanda,25-35,female,2018,1117488.928,47.081,526124.9621916801,11.129,65812.89575480793,525551.070053512,14796544020439.338,90771964325.49207,1011973178432.3005,4091919469.5407434,33752.51454255539,563020612090.1777,4373633751209.8125,138129.0402557913,528186920798.49316,46230486225.39753,137051480994.33171,7600.2830623597365,179526.04104557796,190019406442.63757,201679151351.605,525741788426.00793,255967589893.7483,0,0,2701979.4157889015,0
Rwanda,25-35,female,2019,1124456.704,49.011,551107.47519744,11.983,68704.43808741076,504644.79071514914,288423.53236935724,1841.184420720608,27675.061135687225,136.1790040581087,566.8589437215583,14851.815040142272,71027.03814708018,1499.076191013652,13305.131555027005,994.2174442616392,4478.960657862429,102.96461282442365,2432.1237980865876,5101.176920306795,5157.087812216832,16089.327900190654,6530.502889729709,0,0,33023.131697497745,0
Rwanda,25-35,female,2020,1131424.48,44.718,505950.3989664,12.803,80079.44659473181,545394.6344388681,15119218079777.607,86056086032.28181,1156202375363.0945,11274729972.06232,93000.48306867822,1085565968594.5793,2956171996947.418,130595.41936848122,526462659062.0972,43709054410.52937,175951808743.13092,9679.439074065804,228637.71812853822,242001679734.8857,202575918597.84732,652890590690.9756,399219265601.0815,0,0,2727294.442095519,0
Rwanda,25-35,female,2021,1141668.736,45.611,520726.52717695996,13.182,81852.60196705314,539089.6068559869,14546596908407.424,67954897995.611984,1454444373337.7551,9425161206.708263,77744.17191329872,778668548991.9208,3579316729581.7373,151171.99207971088,704989998360.8954,50595839112.21711,247886924270.19806,10787.566445353974,254812.75901969185,269706661724.02255,286647584957.606,801796354832.231,322919550270.99713,0,0,3285205.0302240397,0
Rwanda,25-35,female,2022,1151912.992,46.483,535443.71607136,12.832,79105.3374871631,537363.9384414769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2023,1162157.2480000001,47.319,549921.1881811201,12.506,76566.24164094914,535669.8181779309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Rwanda,25-35,female,2024,1172401.504,48.026,563057.54631104,12.215,74431.36443170646,534912.5932572535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
